ID,Title,Description,Category,Level,Estimated Time,Tags,Created By,Created At,Updated At
6ffdc0a1-3fb4-48dd-baf6-d5b21b8ee9b8,Will team.,Manager issue view exist. Surface agency anything old pressure some evidence.,Web Development,Medium,29,"Express, React, Web Development",,2025-03-12 01:27:42.948534+00:00,2025-03-12 01:27:42.948555+00:00
0f4f3555-3ce5-40f1-8636-e469f1332ae2,Congress star.,Great century item trial situation beyond lay.,Web Development,Medium,23,"UI Design, TypeScript, JavaScript",,2025-03-12 01:27:42.968915+00:00,2025-03-12 01:27:42.968934+00:00
75a6c8d2-6c1e-4536-a5f2-f72eae8061c0,Painting must information.,Tough some reach close study experience part.,Programming,Easy,20,"TypeScript, React, JavaScript",,2025-03-12 01:27:42.987538+00:00,2025-03-12 01:27:42.987564+00:00
09b5fbd7-11da-436a-b848-ec9c76ee2c1b,Star letter break ever.,Eat and no above. Score treat throw.,Programming,Hard,17,"CSS, React Hooks, Tailwind CSS",,2025-03-12 01:27:43.007532+00:00,2025-03-12 01:27:43.007558+00:00
eed3cf04-9370-41fa-86c1-b2af9d6ef561,Alone despite dark.,West send way when clear. Seek really pattern base street cold.,Databases,Medium,30,"Frontend, TypeScript, Web Development",,2025-03-12 01:27:43.045294+00:00,2025-03-12 01:27:43.045318+00:00
accbd3ae-d868-4b6b-8b8a-8b76d348c67f,Establish explain.,Option hand religious floor after. Ago give decide collection.,Databases,Hard,15,"UI Design, React Hooks, Web Development",,2025-03-12 01:27:43.063171+00:00,2025-03-12 01:27:43.063195+00:00
38e8d10d-8b16-4fb0-8b64-cd0ccf991cef,Where level democratic.,Since painting reveal law.,Data Science,Hard,26,"Frontend, Web Design, React Hooks",,2025-03-12 01:27:43.157470+00:00,2025-03-12 01:27:43.157495+00:00
25bb0302-bd20-4820-bc2d-86c15c97eec0,Record big identify.,Option industry city third bed.,Data Science,Easy,14,"Frontend, React, Web Development",,2025-03-12 01:27:43.177762+00:00,2025-03-12 01:27:43.177786+00:00
4fa33306-5b1b-450b-a2d5-b18fd56d6c45,Late yes region analysis.,Owner early know though cup. Occur meeting investment power sound relationship.,UI Design,Easy,14,"React Hooks, Web Development, Responsive Design",,2025-03-12 01:27:43.197345+00:00,2025-03-12 01:27:43.197370+00:00
6b77f57e-dac9-4869-bd0e-6d392b0ce919,Picture less.,Degree agency prove share out accept. Mrs new small world speech.,UI Design,Easy,12,"UI Design, Web Design, Grid",,2025-03-12 01:27:43.217042+00:00,2025-03-12 01:27:43.217068+00:00
7c1057e1-bd7a-4463-a29e-6e55495cfdd3,Quiz Information,Quiz InformationQuiz InformationQuiz Information,Databases,Medium,20,"Frontend, React, React Hooks, Web Development, Tailwind CSS, JavaScript",John,2025-03-12 22:45:01.669983+00:00,2025-03-12 22:45:01.670021+00:00
127b55b5-2f8e-49c0-922c-01484db6f63e,Quiz Information,Quiz InformationQuiz InformationQuiz Information,Databases,Medium,20,"Frontend, React, React Hooks, Web Development, Tailwind CSS, JavaScript",John,2025-03-12 22:46:07.702996+00:00,2025-03-12 22:46:07.703027+00:00
aec80486-4d40-430e-8202-d3847ed21e19,Quiz Information,Quiz InformationQuiz InformationQuiz InformationQuiz Information,Programming,Hard,20,"Frontend, TypeScript, CSS, Web Development, Responsive Design, Tailwind CSS",John,2025-03-12 22:52:10.539577+00:00,2025-03-12 22:52:10.539608+00:00
e456a06c-6536-40ce-8ae7-53d884255bd9,Quiz Information,Quiz InformationQuiz InformationQuiz InformationQuiz InformationQuiz Information,UI Design,Medium,20,"Frontend, Web Design, React Hooks, Responsive Design, Grid, Tailwind CSS, JavaScript",John,2025-03-12 23:23:12.235397+00:00,2025-03-12 23:23:12.235477+00:00
